population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,80,France,3,Both,22,All ages,572,Eating disorders,2,Percent,2023,2.6166655356177054e-05,5.585784547504204e-05,1.2143175851920425e-05
1,All Population,1,Deaths,80,France,3,Both,22,All ages,572,Eating disorders,3,Rate,2023,0.023736868797901992,0.05067261174121384,0.011028935980250903
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,558,Mental disorders,1,Number,2021,1.8975691129131753,15.360949102608929,0.4165949302337503
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,558,Mental disorders,2,Percent,2021,1.3150805381262823e-06,1.0640634410281832e-05,2.886587040613014e-07
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,558,Mental disorders,3,Rate,2021,0.001511895744181713,0.012238897343334318,0.000331923668962514
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2022,43.636556895464615,79.36430964440895,21.278921806950915
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,2,Percent,2022,1.3303998345639991e-05,2.419586326485249e-05,6.489489506605606e-06
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,3,Rate,2022,0.013075765450911592,0.023781644838978377,0.006376263628281288
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,558,Mental disorders,1,Number,2022,1.8383041380934655,3.450219707713837,0.08031703512772448
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,558,Mental disorders,2,Percent,2022,4.095352694185663e-06,7.690956172226634e-06,1.7883800484849312e-07
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,558,Mental disorders,3,Rate,2022,0.004751276320715868,0.008917429308258734,0.0002075872099968366
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,572,Eating disorders,1,Number,2022,1.8383041380934655,3.450219707713837,0.08031703512772448
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,572,Eating disorders,2,Percent,2022,4.095352694185663e-06,7.690956172226634e-06,1.7883800484849312e-07
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,572,Eating disorders,3,Rate,2022,0.004751276320715868,0.008917429308258734,0.0002075872099968366
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,572,Eating disorders,1,Number,2022,43.636556895464615,79.36430964440895,21.278921806950915
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,572,Eating disorders,2,Percent,2022,1.3303998345639991e-05,2.419586326485249e-05,6.489489506605606e-06
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,572,Eating disorders,3,Rate,2022,0.013075765450911592,0.023781644838978377,0.006376263628281288
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,558,Mental disorders,1,Number,2022,1.2661791848135582,8.741268321318918,0.33303400212036066
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,558,Mental disorders,2,Percent,2022,8.049757218163824e-07,5.562003247868806e-06,2.1192213831555967e-07
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,558,Mental disorders,3,Rate,2022,0.0010119143901272329,0.0069859110846214045,0.0002661565623485423
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,572,Eating disorders,1,Number,2022,1.2661791848135582,8.741268321318918,0.33303400212036066
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,572,Eating disorders,2,Percent,2022,8.049757218163824e-07,5.562003247868806e-06,2.1192213831555967e-07
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,572,Eating disorders,3,Rate,2022,0.0010119143901272329,0.0069859110846214045,0.0002661565623485423
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,558,Mental disorders,1,Number,2023,1.326776153242008,9.19954495061022,0.35207896652696696
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,558,Mental disorders,2,Percent,2023,8.203242837483236e-07,5.685783207761052e-06,2.176033449172243e-07
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,558,Mental disorders,3,Rate,2023,0.0010642074708850393,0.007378957212382436,0.0002824026235351988
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,572,Eating disorders,1,Number,2023,1.326776153242008,9.19954495061022,0.35207896652696696
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,572,Eating disorders,2,Percent,2023,8.203242837483236e-07,5.685783207761052e-06,2.176033449172243e-07
1,All Population,1,Deaths,67,Japan,3,Both,22,All ages,572,Eating disorders,3,Rate,2023,0.0010642074708850393,0.007378957212382436,0.0002824026235351988
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,558,Mental disorders,1,Number,2023,1.8093232143813565,3.408928187667496,0.0795956274660557
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,558,Mental disorders,2,Percent,2023,4.416993908166332e-06,8.291425599602694e-06,1.9444795326881886e-07
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,558,Mental disorders,3,Rate,2023,0.0046368228125317065,0.008736192550463462,0.0002039828032265506
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,572,Eating disorders,1,Number,2023,1.8093232143813565,3.408928187667496,0.0795956274660557
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,572,Eating disorders,2,Percent,2023,4.416993908166332e-06,8.291425599602694e-06,1.9444795326881886e-07
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,572,Eating disorders,3,Rate,2023,0.0046368228125317065,0.008736192550463462,0.0002039828032265506
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2023,41.57516663014779,75.27275163987913,20.414088130589427
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,2,Percent,2023,1.344766020568287e-05,2.4345012026578323e-05,6.600841465417601e-06
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,3,Rate,2023,0.012395171946465958,0.022441730847648864,0.006086232552234182
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,572,Eating disorders,1,Number,2023,41.57516663014779,75.27275163987913,20.414088130589427
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,572,Eating disorders,2,Percent,2023,1.344766020568287e-05,2.4345012026578323e-05,6.600841465417601e-06
1,All Population,1,Deaths,102,United States of America,3,Both,22,All ages,572,Eating disorders,3,Rate,2023,0.012395171946465958,0.022441730847648864,0.006086232552234182
1,All Population,2,DALYs (Disability-Adjusted Life Years),67,Japan,3,Both,22,All ages,558,Mental disorders,1,Number,2020,2392810.66469552,3013376.0231219605,1792051.0720685343
1,All Population,2,DALYs (Disability-Adjusted Life Years),67,Japan,3,Both,22,All ages,558,Mental disorders,2,Percent,2020,0.06109376513748935,0.07200712112746535,0.051425323025712184
